year,aircraft,electronics,forge,foundry,motor,ordnance,ship
1958,NA,NA,NA,NA,NA,NA,NA
1959,107.1,123.1,2.7,9.6,66.5,38.2,3.6
1960,93,131.3,2.6,9.5,68.4,42.3,3.5
1961,88.8,136.8,2.4,8.8,60.2,47,3.6
1962,92.1,153.9,2.4,8.8,63.6,51.2,3.5
1963,88.3,149.6,2.4,8.8,68.2,49.5,3.6
1964,80.3,151.5,2.2,8.9,67.4,44.2,3.7
1965,82.7,181,2.3,10,69.6,40.4,3.9
1966,107.3,233.6,2.6,11.6,73.7,52.8,4.5
1967,127,222.9,3,12.2,72,73.8,5.4
1968,128.4,215.5,3.1,11.5,71.4,87.1,5.5
1969,119.1,222.1,3,11.7,76.5,84.2,5.8
1970,94.6,195,2.9,11.9,70.7,61.4,5.6
1971,72.7,171.1,2.6,10.7,72.6,44.2,5.8
1972,70.7,193.1,2.4,10.2,75.7,42,6.8
1973,77.9,232.9,2.7,12,92.6,43.9,8.3
1974,83.6,235.8,3,13.6,87.4,43.1,10.3
