year,aircraft,appliances,communication,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,1.11,1.01,1.01,1,0.79,1.19,1.02,0.79,0.93,1.13,1.11,0.85,1.14,1.29
1959,1.11,1,1.01,1,0.78,1.21,1.03,0.78,0.93,1.15,1.09,0.84,1.15,1.31
1960,1.11,1,1,1,0.79,1.21,1.02,0.77,0.93,1.16,1.09,0.85,1.16,1.27
1961,1.11,1.01,1.02,1,0.8,1.2,1.02,0.77,0.93,1.15,1.1,0.86,1.18,1.29
1962,1.12,1.01,1.01,1,0.8,1.21,1.03,0.76,0.93,1.17,1.11,0.84,1.18,1.29
1963,1.12,1,1.01,1,0.79,1.22,1.03,0.76,0.94,1.18,1.11,0.85,1.19,1.28
1964,1.11,0.98,1.01,1,0.8,1.22,1.03,0.76,0.93,1.18,1.12,0.85,1.16,1.26
1965,1.13,1,1.01,1,0.79,1.24,1.04,0.76,0.94,1.2,1.12,0.83,1.13,1.24
1966,1.14,0.99,1,1,0.79,1.24,1.03,0.76,0.94,1.19,1.09,0.83,1.14,1.23
1967,1.15,0.99,1.02,1,0.8,1.22,1.02,0.78,0.94,1.18,1.06,0.85,1.15,1.21
1968,1.13,0.99,1.01,1,0.8,1.23,1.04,0.77,0.94,1.22,1.02,0.87,1.12,1.2
1969,1.14,0.97,1.02,1,0.79,1.23,1.05,0.78,0.94,1.21,1.01,0.86,1.13,1.21
1970,1.16,0.97,1.02,1,0.8,1.22,1.05,0.78,0.95,1.19,1.02,0.86,1.12,1.19
1971,1.14,0.97,1,1,0.79,1.22,1.07,0.77,0.94,1.25,1.01,0.87,1.09,1.21
1972,1.15,0.95,1.01,1,0.77,1.24,1.07,0.75,0.94,1.26,1,0.86,1.07,1.27
1973,1.15,0.94,1,1,0.75,1.25,1.1,0.75,0.94,1.26,1,0.85,1.06,1.28
1974,1.15,0.91,1,1,0.75,1.24,1.08,0.75,0.94,1.26,1,0.83,1.06,1.36
